sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,KALIMANTAN SELATAN,HULU SUNGAI SELATAN,TELAGA LANGSAT,2011.0,MINERAL,SMALLHOLDER,7.79,2.79,9085.0,1.0,"cek Harga, produksi gabah lokal",pupuk,input,pupuk,Urea,Rp/kg,1600,2000,kg/ha,75.0,63.0,75.0,88.0,113.0,125.0,125.0,125.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
,,,,,,,,,,,,"recek Produksi karet basah, perbandingan dengan DRC 100%",pupuk,input,pupuk,SP ,Rp/kg,2300,2500,kg/ha,63.0,75.0,87.5,136.0,188.0,138.0,138.0,138.0,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5
,,,,,,,,,,,,,pupuk,input,pupuk,KCL,Rp/kg,3000,3000,,100.0,25.0,37.5,38.0,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Round Up,Rp/liter,50000,50000,liter/ha,2.0,7.0,6.6,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Furadan,Rp/kg,12000,12000,kg/ha,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Formic acid,Rp/botol,6000,6000,botol,0.0,0.0,0.0,0.0,0.0,0.0,4.299300000000001,9.843721272000002,15.123259904400005,16.484635911599998,17.262347400000003,18.772606958039997,19.124251830000002,19.3628690946,19.080638280000002,18.78712470756,18.547299539999997,18.28858667688,17.602565990400002,16.91238393,16.47873306,15.98332408992,15.490295275680001,14.938492010400003,14.4512784,13.425424611839999,12.4140857688,11.47538198016,10.54960218,9.586012063679998
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Padi/Gabah,Rp/kg,2900,2900,Kg,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Karet,Rp/btng,3000,3000,batang,500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Polybags,Rp/kg,8000,8000,kg,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Pisau sadap,Rp/unit,20000,20000,unit,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,peralatan,input,peralatan,Mangkok penampung (latex cup),Rp/unit,200,200,unit,,,,,,,200.0,200.0,200.0,350.0,427.0,427.0,427.0,446.5,437.0,427.0,418.0,408.0,399.0,389.0,380.0,370.0,361.0,351.0,342.0,332.0,323.0,304.0,285.0,266.0
,,,,,,,,,,,,,peralatan,input,peralatan,Ember karet,Rp/unit,10000,10000,pair,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Rp/unit,25000,25000,unit,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,50000,50000,unit,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Bak penampung,Rp/unit,50000,50000,unit,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,250000,250000,Unit,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tebas,Rp/HOK,45000,45000,HOK,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tumbang,Rp/HOK,45000,45000,HOK,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
