sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,JATI AF,SULAWESI SELATAN,BULUKUMBA,KARASSIN,2012,MINERAL,SMALLHOLDER,7.788,2.788,9085,1,"Sengon ditanam dahulu, baru gmelina ditanam setahun kemudian",pupuk,input,pupuk,urea,rp/kg,1600,1600,kg,400,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"cek umur panen, dan porsi pemanenan --> budidaya gmelina",pupuk,input,pupuk,za,rp/kg,1600,1600,kg,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,kcl,rp/kg,1600,1600,kg,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,tsp,rp/kg,1600,1600,kg,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,za,rp/kg,1600,1600,kg,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,gramaxon,rp/lt,50000,50000,lt,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,supreme,rp/lt,50000,50000,lt,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,jagung,rp/kg,43000,43000,kg,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,sengon,rp/btg,500,500,btg,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,gmelina,rp/btg,500,500,btg,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
